case	timepoint	slide	ratio
85	B	Slide1_580_ROI05.png	1.4951
85	R	Slide1_580_ROI07.png	197.7234
85	R	Slide1_580_ROI09.png	209.259
85	R	Slide1_580_ROI11.png	108.4739
85	R	Slide1_580_ROI13.png	161.2048
85	R	Slide1_580_ROI15.png	170.9712
85	B	Slide1_580_ROI17.png	59.3925
85	B	Slide1_580_ROI19.png	29.2138
85	B	Slide1_580_ROI21.png	133.7505
88	R	Slide1_ROI01_segment1.png	11.6946
88	B	Slide1_ROI05_segment1.png	177.6484
88	B	Slide1_ROI06_segment1.png	256.7496
88	B	Slide1_ROI08_segment1.png	134.3731
88	B	Slide1_ROI09_segment1.png	412.6949
88	B	Slide1_ROI10_segment1.png	379.4081
88	B	Slide1_ROI11_segment1.png	153.111
101	R	Slide2_639_ROI01.png	46.1558
101	R	Slide2_639_ROI03.png	4.366
101	B	Slide2_639_ROI05.png	31.9078
101	B	Slide2_639_ROI09.png	36.4181
101	B	Slide2_639_ROI11.png	35.5679
101	B	Slide2_639_ROI13.png	47.1794
101	R	Slide2_639_ROI15.png	41.0938
101	R	Slide2_639_ROI17.png	83.9573
101	R	Slide2_639_ROI19.png	290.88
105	B	Slide1_561_ROI01.png	270.7238
105	B	Slide1_561_ROI03.png	220.7148
105	B	Slide1_561_ROI05.png	85.6755
105	R	Slide1_561_ROI07.png	17.0366
105	R	Slide1_561_ROI09.png	87.6191
105	R	Slide1_561_ROI11.png	91.498
105	R	Slide1_561_ROI13.png	35.7468
105	B	Slide1_561_ROI15.png	12.0572
116	R	Slide2_ROI01.png	52.5074
116	R	Slide2_ROI03.png	7.383
116	R	Slide2_ROI05.png	125.509
116	R	Slide2_ROI07.png	47.2202
116	R	Slide2_ROI09.png	34.172
116	B	Slide2_ROI11.png	67.831
116	B	Slide2_ROI13.png	108.3534
116	B	Slide2_ROI15.png	156.424
116	B	Slide2_ROI17.png	92.3227
116	B	Slide2_ROI19.png	22.1259
122	B	Slide2_563_ROI05.png	242.2362
122	B	Slide2_563_ROI07.png	516.6899
122	B	Slide2_563_ROI11.png	144.7699
122	B	Slide2_563_ROI13.png	221.4188
122	R	Slide1_562_ROI01.png	289.0341
122	R	Slide1_562_ROI03.png	66.5395
122	R	Slide1_562_ROI05.png	92.8407
122	R	Slide1_562_ROI07.png	176.798
122	R	Slide1_562_ROI09.png	96.4489
127	B	Slide1_ROI02_segment1.png	119.1475
127	B	Slide1_ROI03_segment1.png	259.8465
127	B	Slide1_ROI04_segment1.png	148.1908
127	B	Slide1_ROI05_segment1.png	251.4431
127	B	Slide1_ROI06_segment1.png	23.5036
127	R	Slide1_ROI08_segment1.png	17.8891
127	R	Slide1_ROI09_segment1.png	175.4247
58	B	Slide3_578_ROI03_Mask.png	276.8898
58	B	Slide3_578_ROI07_Mask.png	250.6453
58	R	Slide3_578_ROI09_Mask.png	129.768
58	R	Slide3_578_ROI11_Mask.png	49.8043
58	R	Slide3_578_ROI13_Mask.png	259.4058
58	R	Slide3_578_ROI15_Mask.png	164.6595
69	B	Slide1_624_ROI01_Mask.png	4.9984
69	B	Slide1_624_ROI03_Mask.png	5.1064
69	B	Slide1_624_ROI05_Mask.png	15.3239
69	B	Slide1_624_ROI07_Mask.png	11.4726
69	B	Slide1_624_ROI09_Mask.png	28.1493
69	B	Slide1_624_ROI11_Mask.png	16.8185
